image,channel,param,quality,repeat,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_noise,bsc,0.05,10,1,6.072061877128073,0.048470770634608,10.870728740462235,0.21275420000000622,0.01542919999999981,0.021451999999996474,0.019281700000007618,1.1222270999999893,0.21076460000000452,0.049475775824652776,0.052388587858011725,144688,289388
synthetic_nature,bsc,0.05,50,1,7.3595301635600645,0.07767983695016344,15.718580108730412,0.2149610000000024,0.010567200000011212,0.01431409999999289,0.014834399999998027,0.7366392999999931,0.2380324000000087,0.049658203125,0.053735609210105534,100064,200140
synthetic_geometric,bsc,0.05,50,1,7.970870517940991,0.22129660773461138,24.736789129340714,0.21183309999999267,0.007535399999994752,0.00892369999999687,0.008201400000004355,0.46689560000000085,0.2305001999999945,0.04925537109375,0.0560832913940614,63584,127180
synthetic_gradient,bsc,0.05,50,1,9.0276044212776,0.1966268325411991,23.982434740180533,0.21552579999999466,0.006874400000000946,0.008358300000011809,0.008296500000000151,0.46196049999998934,0.2545987000000025,0.04925896139705882,0.05083556965113442,65584,131180
synthetic_noise,bsc,0.05,50,1,5.808786116776622,0.0374114456425429,2.0039343192914147,0.35034619999998995,0.09086039999999684,0.11312790000000916,0.11179429999999968,6.127360600000017,0.40440680000000384,0.04992802937825521,0.05279479365208794,784888,1569788
synthetic_nature,bsc,0.05,90,1,8.983663117757564,0.08609426641733404,8.404565468302483,0.2109037000000029,0.022032299999992233,0.024928599999995527,0.026273299999999722,1.3643027000000103,0.5819371999999987,0.04964015794836957,0.053279827298764584,187144,374300
synthetic_geometric,bsc,0.05,90,1,8.485277078209748,0.15109565925297927,14.708461135632527,0.21633489999999256,0.016978700000009894,0.016416300000003048,0.014243899999996756,0.7836404000000101,0.4542639999999949,0.04955150462962963,0.05332161292735842,106936,213884
synthetic_gradient,bsc,0.05,90,1,9.054027512983806,0.11343723918453961,16.096937940068774,0.21680729999999926,0.00968879999999217,0.013007400000006442,0.014341900000005126,0.7349657000000036,0.5171045999999961,0.0497283935546875,0.05290036024234485,97712,195436
synthetic_noise,bsc,0.05,90,1,6.610421549912776,0.04220972644461179,0.9429188048534842,0.4875075999999865,0.19435960000001273,0.23778319999999553,0.23517429999999706,14.8507168,0.9321958000000024,0.04999168246400123,0.05629825907630329,1668080,3336172
synthetic_nature,bsc,0.1,10,1,6.942864691149193,0.07111645437022653,28.887452248016455,0.2234710999999976,0.006395999999995183,0.006362800000005109,0.0067510999999882415,0.4140979000000158,0.11832389999999293,0.10086495535714286,0.10468704084631207,54448,108908
synthetic_geometric,bsc,0.1,10,1,6.591297628877885,0.08405047391305127,32.88859150217464,0.22132990000000063,0.0049877000000009275,0.00588280000000907,0.005615900000009333,0.36753859999998895,0.11562070000000801,0.10053507486979167,0.10812562730010036,47824,95660
synthetic_gradient,bsc,0.1,10,1,6.994074678798939,0.0963096531404513,35.08351177730193,0.2167796000000095,0.0044265000000081045,0.005217600000008815,0.0057091999999983045,0.337141900000006,0.1189643000000018,0.10089666193181818,0.10169075660242684,44832,89676
synthetic_noise,bsc,0.1,10,1,5.737722707956133,0.03062231020707809,10.870728740462235,0.25616379999999594,0.017050500000010516,0.021292699999989395,0.0224765999999903,1.2158873999999997,0.20888449999999636,0.09998575846354167,0.10557198938405396,144688,289388
synthetic_nature,bsc,0.1,50,1,6.807817848905354,0.05716982802101147,15.718580108730412,0.22230239999998958,0.010270099999999616,0.012825599999999326,0.014197300000006408,0.738279200000008,0.23510869999999784,0.1001953125,0.10686160857051487,100064,200140
synthetic_geometric,bsc,0.1,50,1,6.435186336335187,0.12103776532389905,24.736789129340714,0.21228290000000527,0.006870499999990898,0.00835949999999741,0.007295700000000238,0.49237390000000403,0.24691960000001245,0.10045623779296875,0.11271703573225969,63584,127180
synthetic_gradient,bsc,0.1,50,1,7.006149476557324,0.09777511868448996,23.982434740180533,0.24241539999999873,0.007346800000007647,0.009761800000006815,0.011278599999997141,0.5152156000000048,0.2583068999999938,0.10037051930147059,0.10334837765308612,65584,131180
synthetic_noise,bsc,0.1,50,1,5.714096923716271,0.028165298767305346,2.0039343192914147,0.37700870000000464,0.09754879999999844,0.11596120000000099,0.12507290000000637,6.3598307999999975,0.4254047000000014,0.09998639424641927,0.10521246343427343,784888,1569788
synthetic_nature,bsc,0.1,90,1,8.41310245066654,0.0765242440674039,8.404565468302483,0.24666999999999462,0.022174699999993663,0.02660800000001018,0.02862700000000018,1.4520077999999899,0.5659813000000042,0.10000477666440218,0.10708865900055572,187144,374300
synthetic_geometric,bsc,0.1,90,1,7.428190707749565,0.08877849098767206,14.708461135632527,0.226583799999986,0.010156100000017432,0.01501020000000608,0.014494200000001456,0.8184635999999728,0.4830643999999893,0.09996202256944445,0.10726041744594898,106936,213884
synthetic_gradient,bsc,0.1,90,1,7.819641218618801,0.07508722157771917,16.096937940068774,0.2144295000000227,0.012077400000009675,0.013099500000009812,0.012552400000004127,0.7563032999999848,0.5376946000000089,0.10027567545572917,0.10577001801211725,97712,195436
synthetic_noise,bsc,0.1,90,1,6.593505415987307,0.033136890903702136,0.9429188048534842,0.5409657999999808,0.20935629999999605,0.26171850000000063,0.24412430000000995,14.910160100000013,0.8954614000000163,0.10018651625689338,0.1122542084312503,1668080,3336172
synthetic_nature,bec,0.0,10,1,30.44135660687026,0.8286489518103416,28.887452248016455,0.2099920999999938,0.0051224999999988086,0.006995899999992616,0.0002321000000051754,1.0768756000000224,0.12783140000001936,0.0,0.0,54448,108908
synthetic_geometric,bec,0.0,10,1,29.808862056326674,0.9043158416759978,32.88859150217464,0.21843090000001553,0.004418600000008155,0.007192300000014029,0.00016279999999824213,0.966237499999977,0.11042729999999779,0.0,0.0,47824,95660
synthetic_gradient,bec,0.0,10,1,33.21846376558947,0.8600738537837967,35.08351177730193,0.20157520000000773,0.006148599999988846,0.0063197999999999865,0.00010500000001911758,0.896305400000017,0.11030479999999443,0.0,0.0,44832,89676
